date	unique_recievers
2022-04-05	699208
2022-04-04	699586
2022-04-03	594075
2022-04-02	667470
2022-04-01	744282
2022-03-31	716985
2022-03-30	669582
2022-03-29	714738
2022-03-28	729076
2022-03-27	598380
2022-03-26	621171
2022-03-25	761189
2022-03-24	683998
2022-03-23	679386
2022-03-22	686960
2022-03-21	671226
2022-03-20	580629
2022-03-19	646081
2022-03-18	706537
2022-03-17	751661
2022-03-16	728530
2022-03-15	686490
2022-03-14	666305
2022-03-13	562950
2022-03-12	601739
2022-03-11	664140
2022-03-10	694013
2022-03-09	707168
2022-03-08	666035
2022-03-07	656138
2022-03-06	563648
2022-03-05	603200
2022-03-04	681827
2022-03-03	708338
2022-03-02	735139
2022-03-01	728422
2022-02-28	709741
2022-02-27	591487
2022-02-26	589798
2022-02-25	694134
2022-02-24	681966
2022-02-23	630476
2022-02-22	656054
2022-02-21	621399
2022-02-20	556864
2022-02-19	581918
2022-02-18	679669
2022-02-17	672608
2022-02-16	685717
2022-02-15	688143
2022-02-14	637555
2022-02-13	598552
2022-02-12	610945
2022-02-11	668848
2022-02-10	677586
2022-02-09	667831
2022-02-08	692708
2022-02-07	666284
2022-02-06	578839
2022-02-05	678243
2022-02-04	658269
2022-02-03	674423
2022-02-02	690722
2022-02-01	695569
2022-01-31	676984
2022-01-30	562631
2022-01-29	606320
2022-01-28	690365
2022-01-27	657005
2022-01-26	655745
2022-01-25	664061
2022-01-24	680402
2022-01-23	564228
2022-01-22	669658
2022-01-21	729815
2022-01-20	694840
2022-01-19	675632
2022-01-18	664722
2022-01-17	649578
2022-01-16	580197
2022-01-15	629385
2022-01-14	697759
2022-01-13	706446
2022-01-12	686812
2022-01-11	701849
2022-01-10	678966
2022-01-09	577394
2022-01-08	599462
2022-01-07	675178
2022-01-06	697894
2022-01-05	705114
2022-01-04	690236
2022-01-03	638213
2022-01-02	542726
2022-01-01	521482
2021-12-31	709825
2021-12-30	683866
2021-12-29	747083
2021-12-28	732419
2021-12-27	680083
2021-12-26	580525
2021-12-25	585882
2021-12-24	682866
2021-12-23	751291
2021-12-22	727785
2021-12-21	759159
2021-12-20	685036
2021-12-19	565565
2021-12-18	622693
2021-12-17	665878
2021-12-16	670000
2021-12-15	714697
2021-12-14	692043
2021-12-13	698149
2021-12-12	577235
2021-12-11	608044
2021-12-10	724827
2021-12-09	715492
2021-12-08	667573
2021-12-07	734798
2021-12-06	710632
2021-12-05	595951
2021-12-04	704272
2021-12-03	747472
2021-12-02	787998
2021-12-01	732447
2021-11-30	743999
2021-11-29	735781
2021-11-28	568913
2021-11-27	630534
2021-11-26	750611
2021-11-25	748625
2021-11-24	745891
2021-11-23	709349
2021-11-22	684890
2021-11-21	594871
2021-11-20	644300
2021-11-19	719643
2021-11-18	733567
2021-11-17	717038
2021-11-16	748346
2021-11-15	716338
2021-11-14	592614
2021-11-13	637684
2021-11-12	705712
2021-11-11	733280
2021-11-10	749465
2021-11-09	802492
2021-11-08	712252
2021-11-07	599953
2021-11-06	631112
2021-11-05	728443
2021-11-04	736154
2021-11-03	730774
2021-11-02	742854
2021-11-01	738628
2021-10-31	581635
2021-10-30	674687
2021-10-29	767576
2021-10-28	758316
2021-10-27	725415
2021-10-26	725861
2021-10-25	714787
2021-10-24	565636
2021-10-23	607154
2021-10-22	703444
2021-10-21	772837
2021-10-20	719266
2021-10-19	753581
2021-10-18	701001
2021-10-17	571073
2021-10-16	684718
2021-10-15	753503
2021-10-14	699697
2021-10-13	691655
2021-10-12	682645
2021-10-11	682666
2021-10-10	547500
2021-10-09	630252
2021-10-08	694732
2021-10-07	788246
2021-10-06	665993
2021-10-05	744958
2021-10-04	663100
2021-10-03	566232
2021-10-02	646543
2021-10-01	705279
2021-09-30	723726
2021-09-29	598826
2021-09-28	634077
2021-09-27	625267
2021-09-26	507515
2021-09-25	548193
2021-09-24	691738
2021-09-23	658210
2021-09-22	659371
2021-09-21	606313
2021-09-20	659818
2021-09-19	517480
2021-09-18	575663
2021-09-17	664018
2021-09-16	681481
2021-09-15	662489
2021-09-14	655655
2021-09-13	618981
2021-09-12	508702
2021-09-11	564946
2021-09-10	650891
2021-09-09	700289
2021-09-08	662681
2021-09-07	671822
2021-09-06	638803
2021-09-05	519928
2021-09-04	586806
2021-09-03	696149
2021-09-02	722612
2021-09-01	690840
2021-08-31	666529
2021-08-30	602570
2021-08-29	487055
2021-08-28	549632
2021-08-27	631031
2021-08-26	638219
2021-08-25	646106
2021-08-24	645717
2021-08-23	656865
2021-08-22	481444
2021-08-21	563122
2021-08-20	682406
2021-08-19	619927
2021-08-18	610754
2021-08-17	625836
2021-08-16	635579
2021-08-15	482616
2021-08-14	528504
2021-08-13	645555
2021-08-12	614393
2021-08-11	637449
2021-08-10	634087
2021-08-09	618040
2021-08-08	490641
2021-08-07	537500
2021-08-06	643504
2021-08-05	621711
2021-08-04	592556
2021-08-03	601120
2021-08-02	589898
2021-08-01	481454
2021-07-31	539260
2021-07-30	636564
2021-07-29	627998
2021-07-28	611375
2021-07-27	608006
2021-07-26	650129
2021-07-25	448176
2021-07-24	504953
2021-07-23	588281
2021-07-22	578038
2021-07-21	577359
2021-07-20	577475
2021-07-19	560014
2021-07-18	428070
2021-07-17	468470
2021-07-16	561338
2021-07-15	578190
2021-07-14	572574
2021-07-13	549067
2021-07-12	567271
2021-07-11	444532
2021-07-10	495261
2021-07-09	578010
2021-07-08	587926
2021-07-07	572809
2021-07-06	585593
2021-07-05	554690
2021-07-04	470698
2021-07-03	586156
2021-07-02	533795
2021-07-01	619056
2021-06-30	561016
2021-06-29	567763
2021-06-28	589281
2021-06-27	373444
2021-06-26	496405
2021-06-25	567724
2021-06-24	596909
2021-06-23	600239
2021-06-22	552868
2021-06-21	552930
2021-06-20	445468
2021-06-19	494678
2021-06-18	574434
2021-06-17	610755
2021-06-16	656445
2021-06-15	683137
2021-06-14	629131
2021-06-13	488176
2021-06-12	588644
2021-06-11	618083
2021-06-10	681804
2021-06-09	586391
2021-06-08	662823
2021-06-07	620792
2021-06-06	476196
2021-06-05	544701
2021-06-04	637971
2021-06-03	697497
2021-06-02	669181
2021-06-01	619222
2021-05-31	605840
2021-05-30	481811
2021-05-29	540369
2021-05-28	618898
2021-05-27	604376
2021-05-26	643815
2021-05-25	643376
2021-05-24	645741
2021-05-23	558036
2021-05-22	605867
2021-05-21	698182
2021-05-20	697063
2021-05-19	737564
2021-05-18	621791
2021-05-17	691890
2021-05-16	609096
2021-05-15	649619
2021-05-14	755812
2021-05-13	810847
2021-05-12	857573
2021-05-11	860549
2021-05-10	829995
2021-05-09	695447
2021-05-08	749679
2021-05-07	811842
2021-05-06	848961
2021-05-05	813731
2021-05-04	779160
2021-05-03	751156
2021-05-02	592019
2021-05-01	681525
2021-04-30	741501
2021-04-29	708325
2021-04-28	734920
2021-04-27	753410
2021-04-26	681991
2021-04-25	591184
2021-04-24	701268
2021-04-23	799072
2021-04-22	761919
2021-04-21	721716
2021-04-20	832677
2021-04-19	678957
2021-04-18	759787
2021-04-17	613916
2021-04-16	735996
2021-04-15	958067
2021-04-14	858447
2021-04-13	844356
2021-04-12	770753
2021-04-11	660533
2021-04-10	770035
2021-04-09	860877
2021-04-08	766106
2021-04-07	867160
2021-04-06	846025
2021-04-05	769403
2021-04-04	624633
2021-04-03	709882
2021-04-02	800759
2021-04-01	819136
2021-03-31	905998
2021-03-30	831922
2021-03-29	781060
2021-03-28	635836
2021-03-27	728091
2021-03-26	794929
2021-03-25	853373
2021-03-24	785652
2021-03-23	814606
2021-03-22	787575
2021-03-21	617864
2021-03-20	747431
2021-03-19	839011
2021-03-18	891275
2021-03-17	813000
2021-03-16	828624
2021-03-15	788396
2021-03-14	741428
2021-03-13	743644
2021-03-12	823490
2021-03-11	771109
2021-03-10	838113
2021-03-09	787455
2021-03-08	728366
2021-03-07	659218
2021-03-06	682163
2021-03-05	811126
2021-03-04	756983
2021-03-03	844808
2021-03-02	814542
2021-03-01	752215
2021-02-28	633974
2021-02-27	781197
2021-02-26	821789
2021-02-25	835805
2021-02-24	879804
2021-02-23	800767
2021-02-22	766528
2021-02-21	685583
2021-02-20	835219
2021-02-19	889243
2021-02-18	824387
2021-02-17	833361
2021-02-16	749617
2021-02-15	783194
2021-02-14	693860
2021-02-13	792233
2021-02-12	861150
2021-02-11	799746
2021-02-10	866035
2021-02-09	908713
2021-02-08	828163
2021-02-07	724085
2021-02-06	799551
2021-02-05	862160
2021-02-04	900398
2021-02-03	840792
2021-02-02	878736
2021-02-01	720078
2021-01-31	706240
2021-01-30	759874
2021-01-29	892971
2021-01-28	773787
2021-01-27	794189
2021-01-26	775706
2021-01-25	738744
2021-01-24	616063
2021-01-23	725281
2021-01-22	780456
2021-01-21	740890
2021-01-20	761332
2021-01-19	763582
2021-01-18	727029
2021-01-17	647759
2021-01-16	739123
2021-01-15	814201
2021-01-14	806229
2021-01-13	776213
2021-01-12	800286
2021-01-11	805682
2021-01-10	772483
2021-01-09	763636
2021-01-08	887819
2021-01-07	945377
2021-01-06	929406
2021-01-05	850113
2021-01-04	859445
2021-01-03	818457
2021-01-02	717983
2021-01-01	617235
2020-12-31	814711
2020-12-30	812917
2020-12-29	780059
2020-12-28	723040
2020-12-27	702474
2020-12-26	632855
2020-12-25	667925
2020-12-24	642792
2020-12-23	787352
2020-12-22	742041
2020-12-21	652867
2020-12-20	643819
2020-12-19	759678
2020-12-18	855907
2020-12-17	757221
2020-12-16	755611
