date	total_gas_fee
2021-10-16	8752.975778
2021-10-15	15638.55244
2021-10-14	13596.408075
2021-10-13	10193.959915
2021-10-12	9273.661673
2021-10-11	11220.137863
2021-10-10	8651.623785
2021-10-09	8056.781214
2021-10-08	13093.141765
2021-10-07	14745.258136
2021-10-06	15037.742911
2021-10-05	13747.974108
2021-10-04	10441.14751
2021-10-03	6323.93977
2021-10-02	6712.862159
2021-10-01	9090.188011
2021-09-30	11775.658068
2021-09-29	8538.321083
2021-09-28	9418.926727
2021-09-27	17107.880041
2021-09-26	7482.458488
2021-09-25	5019.537963
2021-09-24	7640.784023
2021-09-23	9503.84831
2021-09-22	7241.07783
2021-09-21	10725.893521
2021-09-20	9331.6174
2021-09-19	7200.917714
2021-09-18	5675.515856
2021-09-17	7912.291493
2021-09-16	9381.540034
2021-09-15	7350.47695
2021-09-14	8678.054137
2021-09-13	8811.061705
2021-09-12	6615.238341
2021-09-11	6799.457326
2021-09-10	10913.772165
2021-09-09	16843.988605
2021-09-08	16548.169177
2021-09-07	21131.62146
2021-09-06	12226.618501
2021-09-05	11617.02937
2021-09-04	12468.815313
2021-09-03	16008.193499
2021-09-02	11645.607308
2021-09-01	15120.502551
2021-08-31	13552.444617
2021-08-30	12370.737328
2021-08-29	11023.756001
2021-08-28	10023.657949
2021-08-27	13519.697354
2021-08-26	9971.381941
2021-08-25	10125.300974
2021-08-24	8796.999246
2021-08-23	6649.918712
2021-08-22	3998.629209
2021-08-21	4017.839836
2021-08-20	4717.247887
2021-08-19	6206.941873
2021-08-18	5279.306655
2021-08-17	5751.675111
2021-08-16	6080.440484
2021-08-15	7635.231154
2021-08-14	6072.735958
2021-08-13	6870.413937
2021-08-12	6522.560502
2021-08-11	6777.540297
2021-08-10	7645.530104
2021-08-09	6446.174106
2021-08-08	5474.532746
2021-08-07	5386.023163
2021-08-06	5312.087766
2021-08-05	6253.961088
2021-08-04	4188.447673
2021-08-03	4922.655647
2021-08-02	4105.103748
2021-08-01	3692.386835
2021-07-31	4850.805467
2021-07-30	3534.63293
2021-07-29	3009.817989
2021-07-28	5164.437201
2021-07-27	4849.166892
2021-07-26	3878.504005
2021-07-25	1990.415682
2021-07-24	2216.465956
2021-07-23	3701.575022
2021-07-22	3156.562393
2021-07-21	2487.717693
2021-07-20	3131.48924
2021-07-19	2751.103105
2021-07-18	2562.80438
2021-07-17	2665.875888
2021-07-16	3927.152838
2021-07-15	4182.958733
2021-07-14	4347.91988
2021-07-13	2928.880711
2021-07-12	2679.63607
2021-07-11	1253.037604
2021-07-10	1626.453573
2021-07-09	2630.170203
2021-07-08	3458.547731
2021-07-07	3678.960373
2021-07-06	4818.444373
2021-07-05	1755.973173
2021-07-04	1278.974287
2021-07-03	1521.217754
2021-07-02	1683.137203
2021-07-01	2147.393484
2021-06-30	3057.199815
2021-06-29	2244.09405
2021-06-28	2250.970115
2021-06-27	2486.766301
2021-06-26	1489.398965
2021-06-25	2461.550435
2021-06-24	1909.340954
2021-06-23	2152.922714
2021-06-22	6598.895285
2021-06-21	4129.552271
2021-06-20	1710.911084
2021-06-19	1486.772727
2021-06-18	2085.18292
2021-06-17	2110.158396
2021-06-16	1937.69313
2021-06-15	2035.563631
2021-06-14	1929.348578
2021-06-13	1466.300631
2021-06-12	1912.181837
2021-06-11	2281.276647
2021-06-10	2000.593952
2021-06-09	2373.718371
2021-06-08	2852.4424
2021-06-07	2102.204785
2021-06-06	1560.432702
2021-06-05	1837.055538
2021-06-04	2606.231242
2021-06-03	3057.505727
2021-06-02	2966.323387
2021-06-01	2835.006547
2021-05-31	3078.771052
2021-05-30	2644.965246
2021-05-29	3095.523313
2021-05-28	3766.053111
2021-05-27	3632.65775
2021-05-26	4592.754085
2021-05-25	4776.783674
2021-05-24	6355.702776
2021-05-23	13635.525533
2021-05-22	5302.534504
2021-05-21	10973.20026
2021-05-20	12343.66754
2021-05-19	30798.93959
2021-05-18	8250.402869
2021-05-17	8943.088142
2021-05-16	7728.84403
2021-05-15	8920.270007
2021-05-14	12221.288581
2021-05-13	16479.162319
2021-05-12	26940.380043
2021-05-11	28202.453497
2021-05-10	22503.721573
2021-05-09	12144.018697
2021-05-08	13122.030256
2021-05-07	6347.754184
2021-05-06	6142.596408
2021-05-05	5578.410842
2021-05-04	6403.313723
2021-05-03	6164.07865
2021-05-02	3862.553057
2021-05-01	4908.598313
2021-04-30	5210.401692
2021-04-29	6652.47168
2021-04-28	7236.849992
2021-04-27	6042.241808
2021-04-26	5693.145153
2021-04-25	5169.258985
2021-04-24	6351.769301
2021-04-23	11486.335371
2021-04-22	13169.122807
2021-04-21	14889.136407
2021-04-20	21627.730842
2021-04-19	15401.60924
2021-04-18	13988.48724
2021-04-17	11693.617711
2021-04-16	14336.227929
2021-04-15	7884.271801
2021-04-14	10853.269936
2021-04-13	9404.908629
2021-04-12	8635.031459
2021-04-11	6690.483671
2021-04-10	7988.993143
2021-04-09	9338.468758
2021-04-08	9614.434465
2021-04-07	12230.859553
2021-04-06	12228.082523
2021-04-05	11723.791427
2021-04-04	8861.749839
2021-04-03	11764.408192
2021-04-02	14621.882898
2021-04-01	15538.193336
2021-03-31	16824.292952
2021-03-30	13279.094243
2021-03-29	11888.535564
2021-03-28	9804.159959
2021-03-27	9393.141906
2021-03-26	11651.077304
2021-03-25	14548.151482
2021-03-24	14029.336266
2021-03-23	13061.673606
2021-03-22	14989.829127
2021-03-21	10816.938862
2021-03-20	11257.635486
2021-03-19	12608.011056
2021-03-18	14353.836719
2021-03-17	15502.620842
2021-03-16	14933.713897
2021-03-15	15017.507737
2021-03-14	11927.853652
2021-03-13	12999.054089
2021-03-12	13597.562724
2021-03-11	10620.444113
2021-03-10	10727.397898
2021-03-09	11010.83375
2021-03-08	10860.456038
2021-03-07	10461.902303
2021-03-06	7843.716824
2021-03-05	11007.323919
2021-03-04	8932.718516
2021-03-03	10186.824284
2021-03-02	9933.724507
2021-03-01	9272.588477
2021-02-28	9587.082321
2021-02-27	9481.603056
2021-02-26	12724.116392
2021-02-25	13131.672119
2021-02-24	16301.979401
2021-02-23	31702.760974
2021-02-22	22368.806841
2021-02-21	11338.021334
2021-02-20	15925.496385
2021-02-19	14951.121919
2021-02-18	14406.597029
2021-02-17	13849.546529
2021-02-16	13460.135442
2021-02-15	14269.453142
2021-02-14	11680.626066
2021-02-13	14523.666758
2021-02-12	14025.280105
2021-02-11	13602.170498
2021-02-10	16946.130504
2021-02-09	18354.158266
2021-02-08	16517.111731
2021-02-07	12582.483936
2021-02-06	14069.80631
2021-02-05	19744.59479
2021-02-04	18797.579496
2021-02-03	13710.00646
2021-02-02	13774.193895
2021-02-01	12133.382593
2021-01-31	10261.033113
2021-01-30	8642.494763
2021-01-29	10902.221997
2021-01-28	7335.124632
2021-01-27	7733.098276
2021-01-26	6683.692815
2021-01-25	8615.004048
2021-01-24	6396.685656
2021-01-23	6336.811105
2021-01-22	10383.079231
2021-01-21	9736.678615
2021-01-20	6658.691192
2021-01-19	7959.149669
2021-01-18	5797.311327
2021-01-17	4872.880895
2021-01-16	6302.56929
2021-01-15	7421.966136
2021-01-14	6499.371431
2021-01-13	5372.778087
2021-01-12	6776.868852
2021-01-11	19748.380039
2021-01-10	6984.828712
2021-01-09	7201.345915
2021-01-08	11193.151283
2021-01-07	10633.979172
2021-01-06	9762.946782
2021-01-05	10958.666235
2021-01-04	20121.689311
2021-01-03	13011.093415
2021-01-02	8012.065285
2021-01-01	5188.673351
2020-12-31	7765.748557
2020-12-30	8986.764068
2020-12-29	7421.205327
2020-12-28	8873.285573
2020-12-27	7559.859753
2020-12-26	5203.245311
2020-12-25	7100.311116
2020-12-24	6673.366342
2020-12-23	8973.283353
2020-12-22	5216.004398
2020-12-21	6179.877798
2020-12-20	3415.530312
2020-12-19	4889.283132
2020-12-18	5561.513983
2020-12-17	11024.418932
2020-12-16	6414.620451
2020-12-15	6519.638016
2020-12-14	4749.089317
2020-12-13	3321.300573
2020-12-12	3106.768214
2020-12-11	4829.411382
2020-12-10	4250.053824
2020-12-09	5024.915425
2020-12-08	4845.224403
2020-12-07	3570.713221
2020-12-06	2648.307255
2020-12-05	2662.916849
2020-12-04	3936.325226
2020-12-03	3488.168407
2020-12-02	3155.093081
2020-12-01	6541.401465
2020-11-30	6022.470625
2020-11-29	1962.351069
2020-11-28	2243.440487
2020-11-27	3124.361353
2020-11-26	11194.82995
2020-11-25	4578.870014
2020-11-24	7166.078127
2020-11-23	5825.958416
2020-11-22	4852.224582
2020-11-21	5071.950928
2020-11-20	5098.65548
2020-11-19	3886.146956
2020-11-18	6371.600162
2020-11-17	5886.356957
2020-11-16	3540.927879
2020-11-15	2520.817489
2020-11-14	2791.589601
2020-11-13	4109.253811
2020-11-12	4175.992024
2020-11-11	3752.279972
2020-11-10	3776.709144
2020-11-09	3182.897314
2020-11-08	2131.668036
2020-11-07	4275.488754
2020-11-06	4519.434581
2020-11-05	3763.177025
2020-11-04	2771.964515
2020-11-03	3354.799839
2020-11-02	4397.645831
2020-11-01	2414.139494
2020-10-31	2992.672544
2020-10-30	4618.596845
2020-10-29	5094.813369
2020-10-28	4849.673848
2020-10-27	3148.634087
2020-10-26	4418.605407
2020-10-25	2346.400107
2020-10-24	2261.147611
2020-10-23	4402.466179
2020-10-22	4850.827674
2020-10-21	5743.034746
2020-10-20	4532.199098
2020-10-19	4181.258995
2020-10-18	2744.857556
2020-10-17	2589.454099
2020-10-16	4743.680213
2020-10-15	5823.950302
2020-10-14	5932.708562
2020-10-13	5702.287881
2020-10-12	5515.120626
2020-10-11	3585.365603
2020-10-10	4494.541296
2020-10-09	5752.785535
2020-10-08	5987.751728
2020-10-07	6123.201143
2020-10-06	8317.971754
2020-10-05	6467.221107
2020-10-04	5898.282626
2020-10-03	5560.363638
2020-10-02	6823.689646
2020-10-01	7447.624885
2020-09-30	8845.797481
2020-09-29	11274.115345
2020-09-28	9050.854037
2020-09-27	6376.072826
2020-09-26	6278.130235
2020-09-25	7685.964086
2020-09-24	8479.593769
2020-09-23	10063.464326
2020-09-22	12151.093799
2020-09-21	13563.368148
2020-09-20	10157.6931
2020-09-19	13538.327845
2020-09-18	24732.127097
2020-09-17	42763.252558
2020-09-16	11651.239035
2020-09-15	14752.337821
2020-09-14	15531.71551
2020-09-13	9308.550822
2020-09-12	8212.912709
2020-09-11	11537.870588
2020-09-10	13897.301461
2020-09-09	9240.83795
2020-09-08	7993.849043
2020-09-07	8661.755119
2020-09-06	10035.002966
2020-09-05	21819.805281
2020-09-04	18017.476673
2020-09-03	30984.757576
2020-09-02	37967.158995
2020-09-01	35517.224015
2020-08-31	18895.060101
2020-08-30	16600.841155
2020-08-29	7841.944389
2020-08-28	7197.373138
2020-08-27	7359.339848
2020-08-26	7184.344914
2020-08-25	8374.263921
2020-08-24	7735.147337
2020-08-23	6545.508371
2020-08-22	7988.313003
2020-08-21	12542.571128
2020-08-20	9115.819759
2020-08-19	10761.369485
2020-08-18	10289.919865
2020-08-17	8615.110457
2020-08-16	7887.333044
2020-08-15	9106.110432
2020-08-14	16401.402644
2020-08-13	20263.769672
2020-08-12	17753.881326
2020-08-11	9978.837169
2020-08-10	9332.143404
2020-08-09	6082.735959
2020-08-08	5151.003834
2020-08-07	5687.037008
2020-08-06	4472.749497
2020-08-05	4072.485598
2020-08-04	4364.523551
2020-08-03	5239.882104
2020-08-02	5869.132001
2020-08-01	4787.707586
2020-07-31	5923.281011
2020-07-30	5260.650226
2020-07-29	5617.714565
2020-07-28	5390.118729
2020-07-27	7408.947483
2020-07-26	5485.496428
2020-07-25	6151.602366
2020-07-24	5618.90911
2020-07-23	5987.575656
2020-07-22	5190.74289
2020-07-21	5327.69946
2020-07-20	5079.939728
2020-07-19	3943.184193
2020-07-18	3643.109447
2020-07-17	3972.430201
2020-07-16	3865.754092
2020-07-15	3588.577456
2020-07-14	2991.335326
2020-07-13	3601.214356
2020-07-12	2110.058415
2020-07-11	2248.096114
2020-07-10	2558.535356
2020-07-09	3261.717337
2020-07-08	3598.79059
2020-07-07	2766.367004
2020-07-06	2723.247349
2020-07-05	2104.098256
2020-07-04	2248.859531
2020-07-03	3022.917815
2020-07-02	2905.199004
2020-07-01	3222.543484
2020-06-30	3606.557485
2020-06-29	2696.246475
2020-06-28	2422.832912
2020-06-27	2518.039544
2020-06-26	2687.986423
2020-06-25	2945.81853
2020-06-24	3310.327331
2020-06-23	3195.626347
2020-06-22	2846.216099
2020-06-21	1991.253869
2020-06-20	1950.967532
2020-06-19	2476.53167
2020-06-18	2227.178718
2020-06-17	2423.167164
2020-06-16	2306.791403
2020-06-15	2532.148961
2020-06-14	1340.126565
2020-06-13	1591.207928
2020-06-12	2048.130099
2020-06-11	15374.798288
2020-06-10	13028.588187
2020-06-09	2152.572192
2020-06-08	2268.498664
2020-06-07	2242.188974
2020-06-06	2061.88053
2020-06-05	1820.203352
2020-06-04	1738.229046
2020-06-03	1621.421726
2020-06-02	2084.439248
2020-06-01	1797.136197
2020-05-31	1571.986221
2020-05-30	1896.568443
2020-05-29	1962.587622
2020-05-28	2256.467456
2020-05-27	2325.220858
2020-05-26	2141.285355
2020-05-25	2085.507316
2020-05-24	1615.103252
2020-05-23	1230.240037
2020-05-22	1934.635729
2020-05-21	2809.292172
2020-05-20	2065.609964
2020-05-19	1785.353813
2020-05-18	2001.364326
2020-05-17	1485.007894
2020-05-16	1381.230858
2020-05-15	1703.919701
2020-05-14	2249.151471
2020-05-13	1855.680809
2020-05-12	1462.671688
2020-05-11	1302.231222
2020-05-10	1704.240857
2020-05-09	941.931342
2020-05-08	1143.695987
2020-05-07	1165.186071
2020-05-06	942.909044
2020-05-05	779.218945
2020-05-04	742.571298
2020-05-03	601.976981
2020-05-02	519.301519
2020-05-01	682.262527
2020-04-30	1276.050163
2020-04-29	978.342003
2020-04-28	597.748887
2020-04-27	651.649889
2020-04-26	635.743289
2020-04-25	568.630633
2020-04-24	663.001978
2020-04-23	693.255247
2020-04-22	657.733728
2020-04-21	697.261803
2020-04-20	662.094832
2020-04-19	513.189147
2020-04-18	584.29057
2020-04-17	528.054699
2020-04-16	693.830514
2020-04-15	493.208569
2020-04-14	525.313395
2020-04-13	495.842263
2020-04-12	367.810501
2020-04-11	399.057944
2020-04-10	520.404513
2020-04-09	490.259294
2020-04-08	511.237521
2020-04-07	581.956718
2020-04-06	641.609308
2020-04-05	352.418794
2020-04-04	363.733651
2020-04-03	486.430785
2020-04-02	521.596274
2020-04-01	457.728735
2020-03-31	500.576909
2020-03-30	453.421143
2020-03-29	351.972078
2020-03-28	402.682722
2020-03-27	491.508593
2020-03-26	526.207264
2020-03-25	548.042866
2020-03-24	561.403052
2020-03-23	590.391079
2020-03-22	500.344847
2020-03-21	517.400525
2020-03-20	723.896225
2020-03-19	888.164144
2020-03-18	613.75493
2020-03-17	759.560827
2020-03-16	1458.39806
2020-03-15	523.336292
2020-03-14	585.942871
2020-03-13	4904.49897
2020-03-12	5112.962877
2020-03-11	587.177134
2020-03-10	470.560113
2020-03-09	747.92206
2020-03-08	681.288725
2020-03-07	369.337932
2020-03-06	401.601683
2020-03-05	434.51924
