date	total_num_addresses
2022-08-05	950479
2022-08-04	955783
2022-08-03	979238
2022-08-02	947567
2022-08-01	908302
2022-07-31	773541
2022-07-30	801682
2022-07-29	954956
2022-07-28	1016625
2022-07-27	890784
2022-07-26	962865
2022-07-25	905603
2022-07-24	734545
2022-07-23	776821
2022-07-22	852850
2022-07-21	965128
2022-07-20	920079
2022-07-19	998065
2022-07-18	874433
2022-07-17	727955
2022-07-16	791313
2022-07-15	955069
2022-07-14	990479
2022-07-13	810857
2022-07-12	945981
2022-07-11	838433
2022-07-10	710613
2022-07-09	782171
2022-07-08	946807
2022-07-07	1007918
2022-07-06	984020
2022-07-05	868674
2022-07-04	855494
2022-07-03	737759
2022-07-02	848341
2022-07-01	941571
2022-06-30	963234
2022-06-29	923528
2022-06-28	909041
2022-06-27	974966
2022-06-26	715607
2022-06-25	755500
2022-06-24	885638
2022-06-23	861825
2022-06-22	881810
2022-06-21	917352
2022-06-20	834875
2022-06-19	750949
2022-06-18	936380
2022-06-17	880351
2022-06-16	893767
2022-06-15	1069858
2022-06-14	1097038
2022-06-13	1005439
2022-06-12	760134
2022-06-11	849994
2022-06-10	908421
2022-06-09	916889
2022-06-08	894223
2022-06-07	946090
2022-06-06	957734
2022-06-05	742340
2022-06-04	780613
2022-06-03	946371
2022-06-02	956018
2022-06-01	968548
2022-05-31	1000162
2022-05-30	941604
2022-05-29	757441
2022-05-28	794128
2022-05-27	936015
2022-05-26	910133
2022-05-25	1034175
2022-05-24	848460
2022-05-23	939060
2022-05-22	751429
2022-05-21	787760
2022-05-20	948874
2022-05-19	902105
2022-05-18	903949
2022-05-17	1036631
2022-05-16	1098098
2022-05-15	1022995
2022-05-14	1097507
2022-05-13	1036736
2022-05-12	1043690
2022-05-11	1005376
2022-05-10	985477
2022-05-09	1044085
2022-05-08	849741
2022-05-07	840612
2022-05-06	1099911
2022-05-05	1174988
2022-05-04	872482
2022-05-03	952464
2022-05-02	980280
2022-05-01	840129
2022-04-30	970531
2022-04-29	1063975
2022-04-28	1015298
2022-04-27	973994
2022-04-26	967613
2022-04-25	1008968
2022-04-24	816123
2022-04-23	864789
2022-04-22	952065
2022-04-21	993088
2022-04-20	976492
2022-04-19	950234
2022-04-18	932584
2022-04-17	756979
2022-04-16	803288
2022-04-15	898503
2022-04-14	919508
2022-04-13	950299
2022-04-12	1001863
2022-04-11	985815
2022-04-10	756941
2022-04-09	813141
2022-04-08	932330
2022-04-07	943697
2022-04-06	928405
2022-04-05	954258
2022-04-04	991442
