date	total_num_addresses
2019-04-03	19347
2019-04-02	19387
2019-04-01	18547
2019-03-31	16438
2019-03-30	16039
2019-03-29	18773
2019-03-28	18351
2019-03-27	16396
2019-03-26	16522
2019-03-25	16556
2019-03-24	15445
2019-03-23	16307
2019-03-22	19577
2019-03-21	17065
2019-03-20	18476
2019-03-19	19038
2019-03-18	17610
2019-03-17	16722
2019-03-16	16031
2019-03-15	15874
2019-03-14	18281
2019-03-13	17615
2019-03-12	16245
2019-03-11	15952
2019-03-10	16047
2019-03-09	17708
2019-03-08	16457
2019-03-07	17957
2019-03-06	17727
2019-03-05	19613
2019-03-04	17392
2019-03-03	17014
2019-03-02	17730
2019-03-01	17682
2019-02-28	17185
2019-02-27	19734
2019-02-26	17133
2019-02-25	17029
2019-02-24	17497
2019-02-23	17396
2019-02-22	17601
2019-02-21	21083
2019-02-20	17542
2019-02-19	17586
2019-02-18	19069
2019-02-17	18428
2019-02-16	16870
2019-02-15	19811
2019-02-14	17244
2019-02-13	17334
2019-02-12	18537
2019-02-11	19285
2019-02-10	16331
2019-02-09	17472
2019-02-08	17953
2019-02-07	17677
2019-02-06	19624
2019-02-05	16010
2019-02-04	14407
2019-02-03	17140
2019-02-02	19214
2019-02-01	16457
2019-01-31	22600
2019-01-30	19421
2019-01-29	17023
2019-01-28	23168
2019-01-27	21086
2019-01-26	16658
2019-01-25	20337
2019-01-24	16584
2019-01-23	17884
2019-01-22	18204
2019-01-21	20489
2019-01-20	18064
2019-01-19	18442
2019-01-18	18207
2019-01-17	18231
2019-01-16	19496
2019-01-15	20798
2019-01-14	19374
2019-01-13	19478
2019-01-12	18555
2019-01-11	19124
2019-01-10	20764
2019-01-09	19675
2019-01-08	17448
2019-01-07	19269
2019-01-06	18817
2019-01-05	17498
2019-01-04	19478
2019-01-03	19511
2019-01-02	19026
2019-01-01	17065
2018-12-31	21771
2018-12-30	18788
2018-12-29	18314
2018-12-28	25229
2018-12-27	20056
2018-12-26	20379
2018-12-25	19209
2018-12-24	23149
2018-12-23	19861
2018-12-22	16790
2018-12-21	19043
2018-12-20	18127
2018-12-19	21210
2018-12-18	20629
2018-12-17	20845
2018-12-16	15547
2018-12-15	19052
2018-12-14	20909
2018-12-13	18561
2018-12-12	19468
2018-12-11	21156
2018-12-10	19324
2018-12-09	19051
2018-12-08	21754
2018-12-07	19826
2018-12-06	23660
2018-12-05	20338
2018-12-04	19103
2018-12-03	20523
2018-12-02	18360
2018-12-01	18509
2018-11-30	21347
2018-11-29	24675
2018-11-28	20617
2018-11-27	20783
2018-11-26	18956
2018-11-25	17999
2018-11-24	19588
2018-11-23	19283
2018-11-22	20655
2018-11-21	22753
2018-11-20	25874
2018-11-19	21644
2018-11-18	19438
2018-11-17	20663
2018-11-16	20084
2018-11-15	20964
2018-11-14	22882
2018-11-13	23906
2018-11-12	22543
2018-11-11	23217
2018-11-10	24409
2018-11-09	23713
2018-11-08	22050
2018-11-07	22523
2018-11-06	23385
2018-11-05	23739
2018-11-04	21136
2018-11-03	21249
2018-11-02	21890
2018-11-01	21781
2018-10-31	18509
2018-10-30	23723
2018-10-29	22793
2018-10-28	18742
2018-10-27	19669
2018-10-26	24401
2018-10-25	24118
2018-10-24	26297
2018-10-23	23686
2018-10-22	23232
2018-10-21	23944
2018-10-20	24156
2018-10-19	23355
2018-10-18	22945
2018-10-17	26144
2018-10-16	24892
2018-10-15	25156
2018-10-14	22725
2018-10-13	26718
2018-10-12	24952
2018-10-11	25553
2018-10-10	27150
2018-10-09	22157
2018-10-08	26076
2018-10-07	24489
2018-10-06	24157
2018-10-05	26970
2018-10-04	25587
2018-10-03	23734
2018-10-02	25827
2018-10-01	25037
2018-09-30	24505
2018-09-29	26917
2018-09-28	28156
2018-09-27	29008
2018-09-26	24321
2018-09-25	28459
2018-09-24	27890
2018-09-23	25834
2018-09-22	27179
2018-09-21	29263
2018-09-20	26205
2018-09-19	26819
2018-09-18	28951
2018-09-17	27954
2018-09-16	28646
2018-09-15	27207
2018-09-14	29472
2018-09-13	31602
2018-09-12	33018
2018-09-11	32509
2018-09-10	29030
2018-09-09	30808
2018-09-08	33652
2018-09-07	32207
2018-09-06	30305
2018-09-05	32853
2018-09-04	34513
2018-09-03	32472
2018-09-02	30897
2018-09-01	31450
2018-08-31	32811
2018-08-30	33411
2018-08-29	32476
2018-08-28	33329
2018-08-27	32518
2018-08-26	34290
2018-08-25	32060
2018-08-24	34795
2018-08-23	33066
2018-08-22	34312
2018-08-21	33578
2018-08-20	34945
2018-08-19	33642
2018-08-18	34605
2018-08-17	33693
2018-08-16	35763
2018-08-15	36960
2018-08-14	39678
2018-08-13	36306
2018-08-12	35157
2018-08-11	36864
2018-08-10	38016
2018-08-09	37367
2018-08-08	40248
2018-08-07	38507
2018-08-06	38598
2018-08-05	35152
2018-08-04	39346
2018-08-03	40335
2018-08-02	41370
2018-08-01	40976
2018-07-31	41202
2018-07-30	46575
2018-07-29	44410
2018-07-28	42893
2018-07-27	45657
2018-07-26	47056
2018-07-25	44909
2018-07-24	43898
2018-07-23	47343
2018-07-22	42425
2018-07-21	45993
