date	total_transaction_volume
2023-02-06	35723748.558734507
2023-02-05	31978986.211919962
2023-02-04	30971704.181824154
2023-02-03	40617954.753736185
2023-02-02	67883972.443702915
2023-02-01	57111828.310614245
2023-01-31	43803842.939020011
2023-01-30	39959022.765983
2023-01-29	35235618.116655726
2023-01-28	37510997.70813568
2023-01-27	54017045.633346442
2023-01-26	56513652.726012533
2023-01-25	32870585.443038187
2023-01-24	40970006.921085445
2023-01-23	42429188.55180963
2023-01-22	42395806.543386475
2023-01-21	34982537.577232884
2023-01-20	39163495.075445428
2023-01-19	39008021.829995961
2023-01-18	51779739.176506091
2023-01-17	32302627.560429402
2023-01-16	50394103.286103255
2023-01-15	32758518.144103538
2023-01-14	60293344.42672034
2023-01-13	45475112.014770303
2023-01-12	54400371.84285576
2023-01-11	38428031.200003713
2023-01-10	46594244.487940805
2023-01-09	48288271.742198543
2023-01-08	29597268.831234279
2023-01-07	20984939.770205805
2023-01-06	19884610.765708909
2023-01-05	17732139.680941516
2023-01-04	26636369.595626156
2023-01-03	20179349.141253404
2023-01-02	27968070.747264122
2023-01-01	24259624.452522656
2022-12-31	22311832.20458296
2022-12-30	32585320.557239442
2022-12-29	20361414.011184865
2022-12-28	26979915.758918661
2022-12-27	20096395.708278962
2022-12-26	19384380.620212413
2022-12-25	12914445.087599612
2022-12-24	27073230.305042952
2022-12-23	25171689.469822542
2022-12-22	54666528.854493969
2022-12-21	40280300.656806585
2022-12-20	35224648.09296973
2022-12-19	57173171.21169298
2022-12-18	25818526.936419889
2022-12-17	35618381.470024274
2022-12-16	98886248.998771572
2022-12-15	35383855.950043016
2022-12-14	84571093.640113746
2022-12-13	73375763.452331407
2022-12-12	30826269.226007617
2022-12-11	19712102.609068395
2022-12-10	17061302.866813247
2022-12-09	34856105.989970981
2022-12-08	31234054.916078393
2022-12-07	33550772.17644004
2022-12-06	35474480.697440022
2022-12-05	36971630.400462315
2022-12-04	46403657.717621841
2022-12-03	57764542.9084486
2022-12-02	60928008.692535059
2022-12-01	59130216.921485997
2022-11-30	48702459.046885404
2022-11-29	27769062.321734205
2022-11-28	58073642.068748435
2022-11-27	23115217.045381566
2022-11-26	35455852.383882852
2022-11-25	44865955.674707042
2022-11-24	72121344.769597869
2022-11-23	78293220.45782683
2022-11-22	57930800.488394979
2022-11-21	80032915.851286719
2022-11-20	40278760.631262557
2022-11-19	25515629.568855635
2022-11-18	60325534.856248064
2022-11-17	56111029.570367995
2022-11-16	68129815.750748297
2022-11-15	70727928.985338991
2022-11-14	107649529.106323133
2022-11-13	86957852.780373011
2022-11-12	128562844.369033731
2022-11-11	143196379.525359539
2022-11-10	136698238.634826613
2022-11-09	111333826.67912816
2022-11-08	127529360.727555465
2022-11-07	90975211.373101582
2022-11-06	58664936.53500034
2022-11-05	62774635.89314859
2022-11-04	100090575.655493333
2022-11-03	96008872.744493461
2022-11-02	55909589.702329846
2022-11-01	28243420.373224593
2022-10-31	44817635.736013845
2022-10-30	32211616.775221327
2022-10-29	44453337.879143087
2022-10-28	43254422.921487885
2022-10-27	53656952.862084053
2022-10-26	63928286.577817593
2022-10-25	56886777.291797849
2022-10-24	71275864.071535176
2022-10-23	30747538.860367178
2022-10-22	46476781.333313366
2022-10-21	46081894.688630773
2022-10-20	45269837.667861359
2022-10-19	41389559.490917731
2022-10-18	69344370.037614779
2022-10-17	47799281.751409608
2022-10-16	20380951.845027215
2022-10-15	33024890.751199093
2022-10-14	44030482.910608513
2022-10-13	52331523.882344473
2022-10-12	27787351.618812109
2022-10-11	40051614.702450003
2022-10-10	34029055.072343467
2022-10-09	22420818.283852985
2022-10-08	25569803.210801822
2022-10-07	38974925.075536905
2022-10-06	47976219.37141147
2022-10-05	53826564.17848671
2022-10-04	45953743.134398192
2022-10-03	39356893.851521262
2022-10-02	25665011.534417061
2022-10-01	31173365.074822402
2022-09-30	50197291.565378553
2022-09-29	47976339.787860682
2022-09-28	41212608.711259767
2022-09-27	54315528.802650881
2022-09-26	54601853.114840975
2022-09-25	36898680.49423649
2022-09-24	42441406.455103643
2022-09-23	64711806.977262506
2022-09-22	52062190.37916028
2022-09-21	57728571.253370566
2022-09-20	39873613.953431266
2022-09-19	68426650.581626005
2022-09-18	31930324.439796357
2022-09-17	25868474.328009749
2022-09-16	43285964.342108016
