date	unique_senders
2022-01-08	345157
2022-01-07	526211
2022-01-06	557804
2022-01-05	522091
2022-01-04	494705
2022-01-03	453226
2022-01-02	356165
2022-01-01	294019
2021-12-31	278443
2021-12-30	277888
2021-12-29	327003
2021-12-28	306225
2021-12-27	346690
2021-12-26	255882
2021-12-25	236093
2021-12-24	244731
2021-12-23	267315
2021-12-22	303016
2021-12-21	292367
2021-12-20	343024
2021-12-19	266863
2021-12-18	282580
2021-12-17	264356
2021-12-16	296855
2021-12-15	307660
2021-12-14	318917
2021-12-13	332802
2021-12-12	284602
2021-12-11	340917
2021-12-10	292781
2021-12-09	271580
2021-12-08	261130
2021-12-07	263097
2021-12-06	277626
2021-12-05	239483
2021-12-04	286172
2021-12-03	351337
2021-12-02	352830
2021-12-01	273058
2021-11-30	272287
2021-11-29	342231
2021-11-28	267576
2021-11-27	268932
2021-11-26	274851
2021-11-25	288851
2021-11-24	301606
2021-11-23	289763
2021-11-22	348185
2021-11-21	253988
2021-11-20	248024
2021-11-19	265966
2021-11-18	248413
2021-11-17	267343
2021-11-16	282178
2021-11-15	341283
2021-11-14	273766
2021-11-13	257423
2021-11-12	291324
2021-11-11	272927
2021-11-10	276136
2021-11-09	299853
2021-11-08	447983
2021-11-07	251406
2021-11-06	220014
2021-11-05	233520
2021-11-04	252784
2021-11-03	278919
2021-11-02	315573
2021-11-01	354234
2021-10-31	214360
2021-10-30	210720
2021-10-29	218188
2021-10-28	236695
2021-10-27	254007
2021-10-26	272175
2021-10-25	322471
2021-10-24	239049
2021-10-23	219903
2021-10-22	220112
2021-10-21	218003
2021-10-20	214072
2021-10-19	414375
2021-10-18	476934
2021-10-17	369928
2021-10-16	365171
2021-10-15	345413
2021-10-14	422452
2021-10-13	441159
2021-10-12	263911
2021-10-11	368601
2021-10-10	366125
2021-10-09	345497
2021-10-08	373390
2021-10-07	400685
2021-10-06	381820
2021-10-05	400831
2021-10-04	450302
2021-10-03	487367
2021-10-02	495396
2021-10-01	418025
2021-09-30	307138
2021-09-29	321437
2021-09-28	326570
2021-09-27	350998
2021-09-26	300686
2021-09-25	261577
2021-09-24	248037
2021-09-23	242710
2021-09-22	207155
2021-09-21	187662
2021-09-20	186091
2021-09-19	182637
2021-09-18	183877
2021-09-17	191987
2021-09-16	189615
2021-09-15	191398
2021-09-14	175368
2021-09-13	141845
2021-09-12	146400
2021-09-11	148992
2021-09-10	159742
2021-09-09	144188
2021-09-08	145981
2021-09-07	140850
2021-09-06	141234
2021-09-05	137101
2021-09-04	150863
2021-09-03	166986
2021-09-02	150168
2021-09-01	140205
2021-08-31	139487
2021-08-30	132617
2021-08-29	122946
2021-08-28	121630
2021-08-27	127387
2021-08-26	127936
2021-08-25	120619
2021-08-24	122515
2021-08-23	134743
2021-08-22	120689
2021-08-21	118952
2021-08-20	116417
2021-08-19	110446
2021-08-18	115208
2021-08-17	117837
2021-08-16	121205
2021-08-15	118384
2021-08-14	110660
2021-08-13	122547
2021-08-12	115163
2021-08-11	127149
2021-08-10	127899
2021-08-09	126501
2021-08-08	146237
2021-08-07	120998
2021-08-06	116988
2021-08-05	118886
2021-08-04	140110
2021-08-03	144236
2021-08-02	126196
2021-08-01	166663
2021-07-31	122749
2021-07-30	113176
2021-07-29	158779
2021-07-28	117126
2021-07-27	97898
2021-07-26	103043
2021-07-25	92945
2021-07-24	101216
2021-07-23	105899
