date	unique_recievers
2021-12-02	70475
2021-12-01	83457
2021-11-30	93402
2021-11-29	70650
2021-11-28	79482
2021-11-27	79422
2021-11-26	100807
2021-11-25	87433
2021-11-24	92946
2021-11-23	105937
2021-11-22	91284
2021-11-21	86738
2021-11-20	88055
2021-11-19	92699
2021-11-18	93810
2021-11-17	89562
2021-11-16	108946
2021-11-15	93506
2021-11-14	93369
2021-11-13	98724
2021-11-12	106801
2021-11-11	96403
2021-11-10	95830
2021-11-09	124557
2021-11-08	88284
2021-11-07	78689
2021-11-06	84384
2021-11-05	97205
2021-11-04	96800
2021-11-03	91104
2021-11-02	102580
2021-11-01	81446
2021-10-31	78013
2021-10-30	85452
2021-10-29	88306
2021-10-28	79158
2021-10-27	72045
2021-10-26	88113
2021-10-25	85851
2021-10-24	69192
2021-10-23	86773
2021-10-22	87390
2021-10-21	81506
2021-10-20	73424
2021-10-19	83702
2021-10-18	67541
2021-10-17	67368
2021-10-16	92464
2021-10-15	95750
2021-10-14	81677
2021-10-13	83953
2021-10-12	102063
2021-10-11	82119
2021-10-10	75127
2021-10-09	82620
2021-10-08	91684
2021-10-07	86749
2021-10-06	88873
2021-10-05	106640
2021-10-04	74137
2021-10-03	70650
2021-10-02	80228
2021-10-01	98888
2021-09-30	94691
2021-09-29	81205
2021-09-28	95540
2021-09-27	74629
2021-09-26	66400
2021-09-25	77831
2021-09-24	86613
2021-09-23	66878
2021-09-22	69396
2021-09-21	101689
2021-09-20	79477
2021-09-19	78451
2021-09-18	78422
2021-09-17	88087
2021-09-16	82164
2021-09-15	82531
2021-09-14	104828
2021-09-13	74798
2021-09-12	76613
2021-09-11	83416
2021-09-10	85858
2021-09-09	81699
2021-09-08	83953
2021-09-07	101672
2021-09-06	91126
2021-09-05	80823
2021-09-04	89018
2021-09-03	89503
2021-09-02	89122
2021-09-01	86765
2021-08-31	119902
2021-08-30	97900
2021-08-29	83682
2021-08-28	72100
2021-08-27	60053
2021-08-26	90655
2021-08-25	70988
2021-08-24	93953
2021-08-23	72802
2021-08-22	69478
2021-08-21	76395
2021-08-20	84024
2021-08-19	68864
2021-08-18	70288
2021-08-17	96953
2021-08-16	93403
2021-08-15	102467
2021-08-14	106034
2021-08-13	90084
2021-08-12	89750
2021-08-11	91301
2021-08-10	117424
2021-08-09	104910
2021-08-08	93193
2021-08-07	100313
2021-08-06	99058
2021-08-05	94292
2021-08-04	86037
2021-08-03	113271
2021-08-02	93846
2021-08-01	98427
2021-07-31	98519
2021-07-30	97177
2021-07-29	79100
2021-07-28	79165
2021-07-27	125311
2021-07-26	84733
2021-07-25	52791
2021-07-24	50956
2021-07-23	54649
2021-07-22	59634
2021-07-21	79368
2021-07-20	113677
2021-07-19	75548
2021-07-18	78390
2021-07-17	80838
2021-07-16	78381
2021-07-15	75454
2021-07-14	79061
2021-07-13	99664
2021-07-12	79921
2021-07-11	74491
2021-07-10	79746
2021-07-09	77434
2021-07-08	76659
2021-07-07	79658
2021-07-06	98589
2021-07-05	69395
2021-07-04	72924
2021-07-03	58106
2021-07-02	89481
2021-07-01	90978
2021-06-30	84069
2021-06-29	116956
2021-06-28	76947
2021-06-27	65500
2021-06-26	78286
2021-06-25	86988
2021-06-24	64709
2021-06-23	72799
2021-06-22	93860
2021-06-21	70908
2021-06-20	75490
2021-06-19	73735
2021-06-18	75455
2021-06-17	70478
2021-06-16	76729
2021-06-15	95434
2021-06-14	67810
2021-06-13	68350
2021-06-12	81405
2021-06-11	71699
2021-06-10	71690
2021-06-09	72177
2021-06-08	98057
2021-06-07	71548
2021-06-06	53953
2021-06-05	73074
2021-06-04	84460
2021-06-03	78909
2021-06-02	78941
2021-06-01	107269
2021-05-31	85345
2021-05-30	78698
2021-05-29	83460
2021-05-28	91109
2021-05-27	94796
2021-05-26	85907
2021-05-25	98485
2021-05-24	92189
2021-05-23	83081
2021-05-22	92910
2021-05-21	91923
2021-05-20	64837
2021-05-19	75151
2021-05-18	93530
2021-05-17	78186
2021-05-16	67629
2021-05-15	79784
2021-05-14	80697
2021-05-13	83736
2021-05-12	85970
2021-05-11	101785
2021-05-10	89749
2021-05-09	80567
2021-05-08	88104
2021-05-07	88155
2021-05-06	105769
2021-05-05	98251
2021-05-04	98070
2021-05-03	84949
2021-05-02	72260
2021-05-01	81444
2021-04-30	79027
2021-04-29	76920
2021-04-28	77263
2021-04-27	96977
2021-04-26	78340
2021-04-25	81386
2021-04-24	83062
2021-04-23	86892
2021-04-22	90180
2021-04-21	90201
2021-04-20	114089
2021-04-19	92539
2021-04-18	88131
2021-04-17	99160
2021-04-16	119873
2021-04-15	92581
2021-04-14	98755
2021-04-13	122696
2021-04-12	86469
2021-04-11	90644
2021-04-10	94681
2021-04-09	87710
2021-04-08	82465
2021-04-07	89540
2021-04-06	111606
2021-04-05	77403
2021-04-04	83386
2021-04-03	75905
2021-04-02	78707
2021-04-01	78877
2021-03-31	87992
2021-03-30	105273
2021-03-29	77924
2021-03-28	75669
2021-03-27	71928
2021-03-26	72566
2021-03-25	73828
2021-03-24	70328
2021-03-23	90747
2021-03-22	69246
2021-03-21	74958
2021-03-20	77777
2021-03-19	77187
2021-03-18	87009
2021-03-17	75435
2021-03-16	91133
2021-03-15	68506
2021-03-14	66763
2021-03-13	84237
2021-03-12	73224
2021-03-11	75501
2021-03-10	81750
2021-03-09	100386
2021-03-08	79218
2021-03-07	76666
2021-03-06	73480
2021-03-05	73494
2021-03-04	70305
2021-03-03	71782
2021-03-02	94156
2021-03-01	73633
2021-02-28	68715
2021-02-27	67304
2021-02-26	93674
2021-02-25	84840
2021-02-24	87826
2021-02-23	98737
2021-02-22	85363
2021-02-21	98120
2021-02-20	122387
2021-02-19	93002
2021-02-18	88812
2021-02-17	91278
2021-02-16	116714
2021-02-15	100047
2021-02-14	104480
2021-02-13	109839
2021-02-12	97677
2021-02-11	86875
2021-02-10	90458
2021-02-09	125029
2021-02-08	85398
2021-02-07	89192
2021-02-06	93105
2021-02-05	90158
2021-02-04	79927
2021-02-03	78799
2021-02-02	100124
2021-02-01	76661
2021-01-31	72448
2021-01-30	77024
2021-01-29	74394
2021-01-28	68562
2021-01-27	71260
2021-01-26	90767
2021-01-25	78905
2021-01-24	68775
2021-01-23	73724
2021-01-22	76078
2021-01-21	64450
2021-01-20	74697
2021-01-19	97108
2021-01-18	64515
2021-01-17	61310
2021-01-16	59229
2021-01-15	62814
2021-01-14	61460
2021-01-13	58467
2021-01-12	90103
2021-01-11	66745
2021-01-10	86818
2021-01-09	89517
2021-01-08	74290
2021-01-07	58643
2021-01-06	58251
2021-01-05	78313
2021-01-04	60950
2021-01-03	64367
2021-01-02	58903
2021-01-01	51821
2020-12-31	46012
2020-12-30	57355
2020-12-29	81476
2020-12-28	62497
2020-12-27	44067
2020-12-26	39552
2020-12-25	32229
2020-12-24	35940
2020-12-23	39088
2020-12-22	64742
2020-12-21	36884
2020-12-20	39535
2020-12-19	41516
2020-12-18	44746
2020-12-17	44450
2020-12-16	37181
2020-12-15	64918
2020-12-14	35178
2020-12-13	35633
2020-12-12	37934
2020-12-11	40986
2020-12-10	31938
2020-12-09	35754
2020-12-08	67930
2020-12-07	35205
2020-12-06	33127
2020-12-05	34376
2020-12-04	38471
2020-12-03	40027
2020-12-02	41780
2020-12-01	74906
2020-11-30	44774
2020-11-29	34575
2020-11-28	33766
2020-11-27	38453
2020-11-26	38481
2020-11-25	48018
2020-11-24	97659
2020-11-23	45484
2020-11-22	44952
2020-11-21	49456
2020-11-20	47273
2020-11-19	48524
