date	total_gas_fee
2022-06-28	29817.82457
2022-06-27	31552.295873
2022-06-26	27406.861866
2022-06-25	29165.119493
2022-06-24	28906.627882
2022-06-23	26023.137722
2022-06-22	24541.08014
2022-06-21	25827.867308
2022-06-20	26884.683447
2022-06-19	28821.326317
2022-06-18	27265.881572
2022-06-17	24159.183817
2022-06-16	26930.413572
2022-06-15	30202.928225
2022-06-14	30788.421407
2022-06-13	32889.099072
2022-06-12	27142.778423
2022-06-11	25717.401507
2022-06-10	25741.4816
2022-06-09	26566.345034
2022-06-08	25179.62163
2022-06-07	25040.408897
2022-06-06	23553.297615
2022-06-05	22721.993532
2022-06-04	22726.156207
2022-06-03	24727.164531
2022-06-02	25236.592983
2022-06-01	27258.630203
2022-05-31	27183.011301
2022-05-30	26787.638688
2022-05-29	22562.569482
2022-05-28	25396.499047
2022-05-27	33010.179433
2022-05-26	26979.52096
2022-05-25	24276.902851
2022-05-24	26470.803732
2022-05-23	25533.738791
2022-05-22	25763.440655
2022-05-21	24142.082343
2022-05-20	26126.706531
2022-05-19	25331.655626
2022-05-18	26865.256789
2022-05-17	27067.817186
2022-05-16	27640.435875
2022-05-15	29028.270336
2022-05-14	35971.288067
2022-05-13	38257.657268
2022-05-12	46121.569927
2022-05-11	42132.366237
2022-05-10	33290.741605
2022-05-09	40260.597493
2022-05-08	25069.474443
2022-05-07	26406.01617
2022-05-06	27813.6574
2022-05-05	39255.612573
2022-05-04	28828.646308
2022-05-03	27608.088112
2022-05-02	28782.57893
2022-05-01	31822.870235
2022-04-30	31336.736755
2022-04-29	32850.70733
2022-04-28	30785.817775
2022-04-27	31489.312901
2022-04-26	47307.776782
2022-04-25	49653.456966
2022-04-24	32629.437031
2022-04-23	29616.796139
2022-04-22	28845.998694
2022-04-21	36644.256142
2022-04-20	38796.031182
2022-04-19	34951.655817
2022-04-18	36209.72439
2022-04-17	33696.464634
2022-04-16	34204.09521
2022-04-15	39367.105003
2022-04-14	35536.456152
2022-04-13	31624.413289
2022-04-12	38634.302444
2022-04-11	39990.770649
2022-04-10	39121.602608
2022-04-09	35689.445983
2022-04-08	37616.973882
2022-04-07	39139.893642
2022-04-06	50341.905888
2022-04-05	55257.39492
2022-04-04	43015.722582
2022-04-03	37421.935791
2022-04-02	36081.633877
2022-04-01	44311.514306
2022-03-31	42357.196146
2022-03-30	35846.692828
2022-03-29	43838.240009
2022-03-28	43664.751887
2022-03-27	44011.884892
2022-03-26	38680.932545
2022-03-25	45778.625025
2022-03-24	43954.796913
2022-03-23	38717.265926
2022-03-22	36687.983834
2022-03-21	34864.389003
2022-03-20	35203.803118
2022-03-19	38212.910827
2022-03-18	36513.459269
2022-03-17	39867.550176
2022-03-16	41227.105626
2022-03-15	40050.261242
2022-03-14	505897.322134
2022-03-13	27263.414231
2022-03-12	27692.471464
2022-03-11	39396.208121
2022-03-10	2510996.076809
2022-03-09	85280.091144
2022-03-08	29865.866921
2022-03-07	29929.504966
2022-03-06	29698.461357
2022-03-05	31495.57209
2022-03-04	34457.806975
2022-03-03	35769.723741
2022-03-02	36210.933414
2022-03-01	38247.563555
2022-02-28	38259.365237
2022-02-27	31573.00308
2022-02-26	33975.483385
2022-02-25	35580.970831
2022-02-24	42252.679237
2022-02-23	36099.298936
2022-02-22	38981.354809
2022-02-21	38277.576569
2022-02-20	35714.384319
2022-02-19	40768.913342
2022-02-18	36046.047395
2022-02-17	38145.709348
2022-02-16	39643.852605
2022-02-15	41864.375524
2022-02-14	44108.972901
2022-02-13	42265.225609
2022-02-12	38827.488129
2022-02-11	37573.754574
2022-02-10	307159.698742
2022-02-09	36631.030721
2022-02-08	43964.270103
2022-02-07	43772.240534
2022-02-06	33689.496422
2022-02-05	43191.410239
2022-02-04	40696.617966
2022-02-03	34390.60115
2022-02-02	36353.061026
2022-02-01	36958.769339
2022-01-31	33636.812468
2022-01-30	32529.670465
2022-01-29	34409.387761
2022-01-28	43272.85785
2022-01-27	35395.399246
2022-01-26	38559.335427
2022-01-25	39488.901704
2022-01-24	36210.622708
2022-01-23	33161.76121
2022-01-22	41565.728761
2022-01-21	38592.899704
2022-01-20	37818.463419
2022-01-19	56256.865877
2022-01-18	37300.793055
2022-01-17	228302.557257
2022-01-16	38784.779213
2022-01-15	44272.26734
2022-01-14	66438.442976
2022-01-13	55081.887819
2022-01-12	39034.009595
2022-01-11	40983.467637
2022-01-10	284599.906654
2022-01-09	35178.406081
2022-01-08	38656.112259
2022-01-07	38968.883038
2022-01-06	37128.46955
2022-01-05	39567.249966
2022-01-04	39851.580049
