date	total_gas_fee
2019-10-16	62269550
2019-10-15	72488653
2019-10-14	52420828
2019-10-13	61965005
2019-10-12	54920096
2019-10-11	64344193
2019-10-10	57311453
2019-10-09	76844547
2019-10-08	62096477
2019-10-07	68059400
2019-10-06	53581499
2019-10-05	55619371
2019-10-04	61162461
2019-10-03	62933668
2019-10-02	81412768
2019-10-01	74851663
2019-09-30	66992237
2019-09-29	72605647
2019-09-28	68346310
2019-09-27	75396048
2019-09-26	76773431
2019-09-25	83320976
2019-09-24	95573463
2019-09-23	88287279
2019-09-22	106925034
2019-09-21	93008617
2019-09-20	100416869
2019-09-19	109596065
2019-09-18	125574740
2019-09-17	113679045
2019-09-16	108324664
2019-09-15	100178721
2019-09-14	100886263
2019-09-13	107193010
2019-09-12	108490196
2019-09-11	118478841
2019-09-10	134743834
2019-09-09	149430068
2019-09-08	95794181
2019-09-07	87380075
2019-09-06	106762429
2019-09-05	109035011
2019-09-04	100849100
2019-09-03	98349708
2019-09-02	83291678
2019-09-01	74525918
2019-08-31	171021884
2019-08-30	321674261
2019-08-29	166747949
2019-08-28	171735265
2019-08-27	586919044
2019-08-26	715118675
2019-08-25	644060835
2019-08-24	509210645
2019-08-23	622900494
2019-08-22	653759147
2019-08-21	607189690
2019-08-20	600269837
2019-08-19	608807521
2019-08-18	549667769
2019-08-17	584202571
2019-08-16	580335808
2019-08-15	526878300
2019-08-14	490467164
2019-08-13	456496608
2019-08-12	509226931
2019-08-11	483566408
2019-08-10	466529989
2019-08-09	457423413
2019-08-08	459949647
2019-08-07	488918442
2019-08-06	474765458
2019-08-05	462968694
2019-08-04	435086817
2019-08-03	443307650
2019-08-02	370557840
2019-08-01	410949008
2019-07-31	388809197
2019-07-30	348657249
2019-07-29	335062915
2019-07-28	265309494
2019-07-27	275170104
2019-07-26	251825946
2019-07-25	256069656
2019-07-24	409333530
2019-07-23	226115959
2019-07-22	218524309
2019-07-21	223046282
2019-07-20	158360725
2019-07-19	186648477
2019-07-18	321618901
2019-07-17	295962479
2019-07-16	260881485
2019-07-15	277658152
2019-07-14	246050457
2019-07-13	213260965
2019-07-12	268558408
2019-07-11	300669184
2019-07-10	301693347
2019-07-09	240677382
2019-07-08	291517813
2019-07-07	236743005
2019-07-06	219374746
2019-07-05	209044098
2019-07-04	169229583
2019-07-03	142598287
2019-07-02	171952275
2019-07-01	160734213
2019-06-30	147794209
